,rate,rate_err
0,0.0,0.0
1,0.0,0.0
2,0.0,0.0
3,0.0,0.0
4,0.0,0.0
5,0.0,0.0
6,0.0,0.0
7,0.0,0.0
8,0.0,0.0
9,0.0,0.0
10,0.0,0.0
11,0.0,0.0
12,0.0,0.0
13,0.0,0.0
14,0.0,0.0
15,0.0,0.0
16,0.0,0.0
17,0.0,0.0
18,0.0,0.0
19,0.0,0.0
20,0.0,0.0
21,0.0,0.0
22,0.0,0.0
23,0.0,0.0
24,0.0,0.0
25,0.0,0.0
26,0.0,0.0
27,0.0,0.0
28,0.0,0.0
29,0.0,0.0
30,0.0,0.0
31,0.0,0.0
32,0.0,0.0
33,0.0,0.0
34,0.0,0.0
35,0.0,0.0
36,0.0,0.0
37,0.0,0.0
38,0.0,0.0
39,0.0,0.0
40,0.0,0.0
41,0.0,0.0
42,0.0,0.0
43,0.0,0.0
44,0.0,0.0
45,0.0,0.0
46,0.0,0.0
47,0.0,0.0
48,0.0,0.0
49,0.0,0.0
50,0.0,0.0
51,0.0,0.0
52,0.0,0.0
53,0.0,0.0
54,0.0,0.0
55,0.0,0.0
56,0.0,0.0
57,0.0,0.0
58,0.0,0.0
59,0.0,0.0
60,0.0,0.0
61,0.0,0.0
62,0.0,0.0
63,0.0,0.0
64,0.0,0.0
65,0.0,0.0
66,0.0,0.0
67,0.0,0.0
68,0.0,0.0
69,0.0,0.0
70,0.0,0.0
71,0.0,0.0
72,0.0,0.0
73,0.0,0.0
74,0.0,0.0
75,0.0,0.0
76,0.0,0.0
77,0.0,0.0
78,0.0,0.0
79,0.0,0.0
80,0.0,0.0
81,0.0,0.0
82,0.0,0.0
83,2.3767082590612003,0.8402932634421243
84,2.3767082590612003,0.8402932634421243
85,3.5650623885918002,1.029144864865643
86,4.753416518122401,1.1883541295306002
87,3.2679738562091503,0.9853311914306
88,3.5650623885918002,1.029144864865643
89,3.5650623885918002,1.029144864865643
90,6.23885918003565,1.361430687746833
91,6.23885918003565,1.361430687746833
92,5.64468211527035,1.2949788899407826
93,6.5359477124183005,1.393468734350395
94,6.23885918003565,1.361430687746833
95,5.64468211527035,1.2949788899407826
96,4.45632798573975,1.1506189382672065
97,8.318478906714201,1.5720447481073028
98,10.1010101010101,1.7323089408334227
99,19.013666072489602,2.3767082590612003
100,33.57100415923945,3.1580944185189095
101,44.26619132501485,3.6264276933255206
102,62.091503267973856,4.294959089364516
103,79.32263814616755,4.8544666186477095
104,64.76530005941771,4.386459613854249
105,69.22162804515746,4.5348596323451416
106,68.33036244800951,4.505570673827422
107,77.83719548425431,4.808797996505836
108,75.16339869281046,4.725482388766151
109,80.51099227569816,4.890694484003069
110,83.77896613190731,4.988964831772628
111,75.75757575757575,4.744123417311738
112,71.301247771836,4.602475753068826
113,73.0837789661319,4.659651557147392
114,74.56922162804516,4.706767533498176
115,74.56922162804516,4.706767533498176
116,80.8080808080808,4.8997095966935955
117,75.4604872251931,4.734812076800127
118,75.16339869281046,4.725482388766151
119,68.62745098039215,4.515354769331748
120,71.89542483660131,4.621612948931683
121,68.9245395127748,4.52511770996073
122,75.4604872251931,4.734812076800127
123,65.359477124183,4.40653504877936
124,71.301247771836,4.602475753068826
125,71.301247771836,4.602475753068826
126,71.59833630421865,4.612054276963763
127,70.7070707070707,4.58325865137894
128,61.200237670825906,4.264022606775794
129,69.5187165775401,4.544580671651324
130,73.97504456327985,4.687977967337938
131,75.16339869281046,4.725482388766151
132,66.25074272133095,4.436477873757599
133,80.8080808080808,4.8997095966935955
134,69.5187165775401,4.544580671651324
135,70.7070707070707,4.58325865137894
136,62.3885918003565,4.305221849729483
137,72.78669043374926,4.6501710762027715
138,72.19251336898395,4.631151891895394
139,71.89542483660131,4.621612948931683
140,65.06238859180036,4.396508789943179
141,71.89542483660131,4.621612948931683
142,71.59833630421865,4.612054276963763
143,67.1420083184789,4.466219957924215
144,75.75757575757575,4.744123417311738
145,66.54783125371361,4.446414006861487
146,66.25074272133095,4.436477873757599
147,71.59833630421865,4.612054276963763
148,67.43909685086156,4.476090069316507
149,76.35175282234106,4.762691486001604
150,71.89542483660131,4.621612948931683
151,65.359477124183,4.40653504877936
152,71.00415923945336,4.5928772530422775
153,76.94592988710636,4.781187444869603
154,78.4313725490196,4.827117293307166
155,73.97504456327985,4.687977967337938
156,81.69934640522875,4.926655957153001
157,76.05466428995841,4.753416518122401
158,68.33036244800951,4.505570673827422
159,70.40998217468805,4.573619821253907
160,73.38086749851456,4.669112788324929
161,68.9245395127748,4.52511770996073
162,77.243018419489,4.790408644265329
163,81.69934640522875,4.926655957153001
164,69.22162804515746,4.5348596323451416
165,76.35175282234106,4.762691486001604
166,73.6779560308972,4.678554886519199
167,77.54010695187165,4.7996121275708585
168,73.38086749851456,4.669112788324929
169,71.301247771836,4.602475753068826
170,79.61972667855021,4.863548884059685
171,73.6779560308972,4.678554886519199
172,72.78669043374926,4.6501710762027715
173,69.22162804515746,4.5348596323451416
174,75.75757575757575,4.744123417311738
175,79.0255496137849,4.845367329263247
176,63.27985739750446,4.335864384826626
177,84.07605466428996,4.997802686054879
178,75.4604872251931,4.734812076800127
179,76.6488413547237,4.771948426681226
180,63.27985739750446,4.335864384826626
181,72.19251336898395,4.631151891895394
182,76.94592988710636,4.781187444869603
183,79.32263814616755,4.8544666186477095
184,80.51099227569816,4.890694484003069
185,79.0255496137849,4.845367329263247
186,77.243018419489,4.790408644265329
187,75.16339869281046,4.725482388766151
188,80.8080808080808,4.8997095966935955
189,79.61972667855021,4.863548884059685
